id;from_top;from_left;angle
1;1;1;1
2;2;2;2
3;3;3;3
4;4;4;4
5;5;5;5
6;6;6;6
7;7;7;7
8;8;8;8
9;9;9;9
10;10;10;10
11;11;11;11
12;12;12;12
13;13;13;13
101;1;1;1
102;2;2;2
103;3;3;3
104;4;4;4
105;5;5;5
106;6;6;6
107;7;7;7
108;8;8;8
109;9;9;9
110;10;10;10
111;11;11;11
112;12;12;12
113;13;13;13
114;14;14;14
115;15;15;15
116;16;16;16
117;17;17;17
118;18;18;18
119;19;19;19
120;20;20;20
121;21;21;21
122;22;22;22
123;23;23;23
124;24;24;24
125;25;25;25
126;26;26;26
127;27;27;27
128;28;28;28
129;29;29;29
130;30;30;30
131;31;31;31
132;32;32;32
133;33;33;33
134;34;34;34
135;35;35;35
136;36;36;36
137;37;37;37
138;38;38;38
139;39;39;39
140;40;40;40
141;41;41;41
142;42;42;42
