id;name;status;room_type;coordinates_id;dimensions_id;floor_id
1;Westeros;UNAVAILABLE;CONFERENCE;1;101;1
2;Braavos;UNAVAILABLE;CONFERENCE;2;102;1
3;R1 Grey;FREE;SHARED;3;103;2
4;R2 Pink;FREE;SHARED;4;104;2
5;R1 Orange;FREE;SHARED;5;105;3
6;R2 Red;UNAVAILABLE;SHARED;6;106;3
7;Green Room;OCCUPIED;CONFERENCE;7;107;3
8;R1 Yellow;FREE;SHARED;8;108;4
9;R1 Green;FREE;SHARED;9;109;5
10;R1 Red;FREE;SHARED;10;110;6
11;R1 White;FREE;SHARED;11;111;7
12;R1 Purple;FREE;SHARED;12;112;8
13;R1 Blue;FREE;SHARED;13;113;9
