id;seat_number;name;status;coordinates_id;dimensions_id;room_id
1;1;S1;FREE;101;201;5
2;2;S2;FREE;102;202;5
3;3;S3;FREE;103;203;5
4;4;S4;UNAVAILABLE;104;204;5
5;5;S5;FREE;105;205;5
6;6;S6;FREE;106;206;5
7;1;S1;FREE;107;207;3
8;2;S2;FREE;108;208;3
9;3;S3;UNAVAILABLE;109;209;3
10;4;S4;FREE;110;210;3
11;5;S5;FREE;111;211;3
12;6;S6;FREE;112;212;4
13;7;S7;FREE;113;213;4
14;8;S8;UNAVAILABLE;114;214;4
15;9;S9;FREE;115;215;4
16;10;S10;FREE;116;216;4
17;11;S11;FREE;117;217;4
18;12;S12;FREE;118;218;4
19;1;S1;FREE;119;219;8
20;2;S2;FREE;120;220;8
21;3;S3;FREE;121;221;8
22;4;S4;UNAVAILABLE;122;222;8
23;1;S1;FREE;123;223;9
24;2;S2;FREE;124;224;9
25;3;S3;FREE;125;225;9
26;4;S4;UNAVAILABLE;126;226;9
27;1;S1;FREE;127;227;10
28;2;S2;FREE;128;228;10
29;3;S3;FREE;129;229;10
30;4;S4;UNAVAILABLE;130;230;10
31;1;S1;FREE;131;231;11
32;2;S2;FREE;132;232;11
33;3;S3;FREE;133;233;11
34;4;S4;UNAVAILABLE;134;234;11
35;1;S1;FREE;135;235;12
36;2;S2;FREE;136;236;12
37;3;S3;FREE;137;237;12
38;4;S4;UNAVAILABLE;138;238;12
39;1;S1;FREE;139;239;13
40;2;S2;FREE;140;240;13
41;3;S3;FREE;141;241;13
42;4;S4;UNAVAILABLE;142;242;13

